,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1101,20191022,IC1911,4883.8,4920,4976.2,4901.2,4954.8,4947.8,68213,6728405.672,72455,2.277040814,0,0,
1102,20191023,IC1911,4947.8,4950,4966.6,4892.2,4923,4911.4,56421,5563502.756,67698,2.277040814,0,0,
1103,20191024,IC1911,4911.4,4920.8,4934,4850,4924,4918.4,62914,6171627.096,72176,2.277040814,0,0,
1104,20191025,IC1911,4918.4,4915,4979,4871.4,4974.2,4964.2,69292,6825414.652,72664,2.277040814,0,0,
1105,20191028,IC1911,4964.2,5031,5051.2,5000,5046.4,5039.8,66222,6663099.088,71937,2.277040814,0,0,
1106,20191029,IC1911,5039.8,5044,5044,4979,4979.6,4989.4,52337,5240085.636,67259,2.277040814,0,0,
1107,20191030,IC1911,4989.4,4963.4,4964.8,4908,4916,4919,58550,5771953.804,71163,2.277040814,0,0,
1108,20191031,IC1911,4919,4928.6,4942.8,4880.2,4892.8,4896.4,55112,5419806.272,68963,2.277040814,0,0,
1109,20191101,IC1911,4896.4,4883.6,4954,4867.2,4948.2,4943.6,62471,6149276.04,69820,2.277040814,0,0,
1110,20191104,IC1911,4943.6,4966,4998,4949.2,4957.8,4961.6,55524,5523276.04,66730,2.277040814,0,0,
1111,20191105,IC1911,4961.6,4970.4,5033.6,4944.4,4998.2,5004.6,65170,6507084.88,68640,2.277040814,0,0,
1112,20191106,IC1911,5004.6,4995,5009.4,4922,4955.4,4941.4,58265,5789777.872,64362,2.277040814,0,0,
1113,20191107,IC1911,4941.4,4946.2,5014,4943.2,4990.4,4987.8,70374,7012580.504,68348,2.277040814,0,0,
1114,20191108,IC1911,4987.8,5030,5048.6,4966.6,4970.8,4981.4,68193,6833292.708,62836,2.277040814,0,0,
1115,20191111,IC1911,4981.4,4940,4941.4,4855,4862,4877.4,56246,5516348.32,58052,2.277040814,0,1,
1116,20191112,IC1911,4877.4,4872.6,4882,4812.4,4867.4,4864.2,59410,5763543.828,54562,2.277040814,0,1,
1117,20191113,IC1911,4864.2,4860,4878.8,4842.2,4872.2,4862.2,46979,4566611.972,41480,2.277040814,0,1,
1118,20191114,IC1911,4862.2,4871.2,4923.2,4866,4903,4909.6,37402,3658430.42,20220,2.277040814,0,1,
1119,20191115,IC1912,4845.8,4841.2,4885,4800.8,4820.4,4828,73086,7069261.492,113365,2.307020426,1,1,
